Pais','Nacionalidade'
'Dinamarca','dinamarquesa'
'Inglaterra','inglesa'
'Estonia','Estonian'
'Finlândia','finlandesa'
'Islândia','Icelandic'
'Irlanda','irlandesa'
'Letônia','Latvian'
'Lituânia','Lithuanian'
'Irlanda do Norte','Norte irlandêsa'
'Noruega','norueguesa'
'Escócia','escocêsa'
'Suécia','sueca'
'Reino Unido','British'
'País de Gales','galêsa'
'Áustria','austríaca'
'Bélgica','belga'
'França','francesa'
'Alemanha','alemã'
'Holanda','holandesa'
'Suíça','suíça'
'Albânia','Albanian'
'Croácia','Croatian'
'Chipre','Cypriot'
'Grécia','grega'
'Itália','italiana'
'Portugal','portuguesa'
'Sérvia','Serbian'
'Eslovênia','Slovene'
'Espanha','espanhola'
'Bielo-Rússia','Belarusian'
'Bulgária','Bulgarian'
'República Checa','checa'
'Hungria','húngara'
'Polónia','polaca'
'Romênia','Romanian'
'Rússia','russa'
'Eslováquia ','Slovakian'
'Ucrânia','Ukrainian'
'Canadá','canadense'
'México','mexicana'
'Estados Unidos','americana'
'Cuba','Cuban'
'Jamaica','Jamaican'
'Argentina','argentina'
'Bolívia','Bolivian'
'Brasil','brasileira'
'Chile','Chilean'
'Colômbia','Colombian'
'Equador','Ecuadorian'
'Paraguai','Paraguayan'
'Peru','Peruvian'
'Uruguai','Uruguayan'
'Venezuela','Venezuelan'
'Geórgia','Georgian'
'Irã','iraneana'
'Iraque','iraqueana'
'Israel','israelita'
'Jordânia','Jordanian'
'Kuwait','Kuwaiti'
'Líbano','Lebanese'
'Palestina','Palestinian'
'Arábia Saudita','Saudi Arabian'
'Síria','Syrian'
'Turquia','turca'
'Iêmen','Yemenite'
'Afeganistão','afegã'
'Bangladesh','Bangladeshi'
'Índia','indiana'
'Casaquistão','Kazakhstani'
'Nepal ','Nepalese '
'Paquistão','paquistanesa'
'Sri Lanka','Sri Lankan'
'China','chinesa'
'Japão','japonesa'
'Mongólia','Mongolian'
'Coreia do Norte','North Korean'
'Coreia do Sul','sul-coreana'
'Taiwan','Taiwan'
'Camboja','de Camboja'
'Indonésia','indonésio'
'Laos','Laos'
'Malásia','Malásia'
'Mianmá','birmanês'
'Filipinas','Filipino'
'Cingapura','Cingapura'
'Tailândia','tailandesa'
'Vietname','vietnamita'
'Austrália','australiana'
'Fiji','Fijian'
'Nova Zelândia','da Nova Zelândia'
'Argélia','Algerian'
'Egipto','egípcia'
'Gana','Gana'
'Costa do Marfim','Costa do Marfim'
'Líbia','líbia'
'Marrocos','marroquina'
'Nigéria','nigeriana'
'Tunísia','tunisiana'
'Etiópia','etíope'
'Quênia','queniana'
'Somália','Somália'
'Sudão','sudanês'
'Tanzânia','Tanzânia'
'Uganda','Uganda'
'Angola','angolana'
'Botsuana','Botsuana'
'República Democrática do Congo','congolêsa'
'Madagascar','malgaxe'
'Moçambique','moçambicana'
'Namíbia','Namíbia'
'África do Sul','sul-africana'
'Zâmbia','Zambian'
'Zimbábwe','Zimbabwean'
